Timestamp(ms),Current(uA),D0-D7
0,90822.648,11111111
0.01,95444.398,11111111
0.02,94673.953,11111111
0.03,93133.25,11111111
0.04,93903.57,11111111
0.05,92362.992,11111111
0.06,92362.992,11111111
0.07,93903.57,11111111
0.08,91592.789,11111111
0.09,94673.953,11111111
0.1,93133.25,11111111
0.11,94673.953,11111111
0.12,93133.25,11111111
0.13,90822.648,11111111
0.14,92362.992,11111111
0.15,93903.57,11111111
0.16,93133.25,11111111
0.17,90052.57,11111111
0.18,93903.57,11111111
0.19,97756.094,11111111
0.2,92362.992,11111111
0.21,93133.25,11111111
0.22,92362.992,11111111
0.23,93133.25,11111111
0.24,93903.57,11111111
0.25,93133.25,11111111
0.26,94673.953,11111111
0.27,93903.57,11111111
0.28,93903.57,11111111
0.29,93133.25,11111111
0.3,92362.992,11111111
0.31,93903.57,11111111
0.32,94673.953,11111111
0.33,93133.25,11111111
0.34,93903.57,11111111
0.35,96214.898,11111111
0.36,94673.953,11111111
0.37,95444.398,11111111
0.38,91592.789,11111111
0.39,92362.992,11111111
0.4,92362.992,11111111
0.41,94673.953,11111111
0.42,96214.898,11111111
0.43,93903.57,11111111
0.44,94673.953,11111111
0.45,91592.789,11111111
0.46,92362.992,11111111
0.47,93903.57,11111111
0.48,93903.57,11111111
0.49,93133.25,11111111
0.5,93133.25,11111111
0.51,93133.25,11111111
0.52,95444.398,11111111
0.53,93133.25,11111111
0.54,94673.953,11111111
0.55,94673.953,11111111
0.56,95444.398,11111111
0.57,92362.992,11111111
0.58,94673.953,11111111
0.59,96214.898,11111111
0.6,92362.992,11111111
0.61,93133.25,11111111
0.62,93133.25,11111111
0.63,94673.953,11111111
0.64,90822.648,11111111
0.65,93133.25,11111111
0.66,91592.789,11111111
0.67,92362.992,11111111
0.68,92362.992,11111111
0.69,94673.953,11111111
0.7,90822.648,11111111
0.71,92362.992,11111111
0.72,93133.25,11111111
0.73,93903.57,11111111
0.74,93133.25,11111111
0.75,95444.398,11111111
0.76,90822.648,11111111
0.77,92362.992,11111111
0.78,93133.25,11111111
0.79,93903.57,11111111
0.8,94673.953,11111111
0.81,94673.953,11111111
0.82,95444.398,11111111
0.83,93903.57,11111111
0.84,96985.469,11111111
0.85,99297.531,11111111
0.86,94673.953,11111111
0.87,92362.992,11111111
0.88,93133.25,11111111
0.89,91592.789,11111111
0.9,87742.703,11111111
0.91,87742.703,11111111
0.92,93133.25,11111111
0.93,90052.57,11111111
0.94,93133.25,11111111
0.95,89282.555,11111111
0.96,89282.555,11111111
0.97,88512.602,11111111
0.98,92362.992,11111111
0.99,91592.789,11111111
1,94673.953,11111111
1.01,90822.648,11111111
1.02,93133.25,11111111
1.03,91592.789,11111111
1.04,93903.57,11111111
1.05,91592.789,11111111
1.06,93903.57,11111111
1.07,91592.789,11111111
1.08,93133.25,11111111
1.09,89282.555,11111111
1.1,93133.25,11111111
1.11,93133.25,11111111
1.12,93903.57,11111111
1.13,93133.25,11111111
1.14,94673.953,11111111
1.15,95444.398,11111111
1.16,92362.992,11111111
1.17,94673.953,11111111
1.18,96214.898,11111111
1.19,93133.25,11111111
1.2,92362.992,11111111
1.21,96214.898,11111111
1.22,93903.57,11111111
1.23,93903.57,11111111
1.24,92362.992,11111111
1.25,93133.25,11111111
1.26,90822.648,11111111
1.27,91592.789,11111111
1.28,92362.992,11111111
1.29,92362.992,11111111
1.3,92362.992,11111111
1.31,93903.57,11111111
1.32,92362.992,11111111
1.33,90822.648,11111111
1.34,90822.648,11111111
1.35,91592.789,11111111
1.36,91592.789,11111111
1.37,90822.648,11111111
1.38,89282.555,11111111
1.39,90822.648,11111111
1.4,89282.555,11111111
1.41,93133.25,11111111
1.42,92362.992,11111111
1.43,92362.992,11111111
1.44,91592.789,11111111
1.45,92362.992,11111111
1.46,91592.789,11111111
1.47,92362.992,11111111
1.48,91592.789,11111111
1.49,97756.094,11111111
1.5,96214.898,11111111
1.51,93903.57,11111111
1.52,92362.992,11111111
1.53,92362.992,11111111
1.54,96214.898,11111111
1.55,97756.094,11111111
1.56,96214.898,11111111
1.57,96214.898,11111111
1.58,94673.953,11111111
1.59,93133.25,11111111
1.6,90822.648,11111111
1.61,93903.57,11111111
1.62,97756.094,11111111
